"Label (Grouping)","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Car, truck, or van -- drove alone!!Estimate","Pennsylvania!!Car, truck, or van -- drove alone!!Margin of Error","Pennsylvania!!Car, truck, or van -- carpooled!!Estimate","Pennsylvania!!Car, truck, or van -- carpooled!!Margin of Error","Pennsylvania!!Public transportation!!Estimate","Pennsylvania!!Public transportation!!Margin of Error","Pennsylvania!!Worked from home!!Estimate","Pennsylvania!!Worked from home!!Margin of Error"
"        Professional, scientific, and management, and administrative and waste management services","11.9%","±0.2","9.2%","±0.3","9.1%","±0.8","12.9%","±1.4","26.5%","±0.8"
"        Educational services, and health care and social assistance","27.0%","±0.3","27.6%","±0.4","24.9%","±1.2","34.6%","±2.1","21.2%","±0.7"
"        Arts, entertainment, and recreation, and accommodation and food services","7.6%","±0.2","7.2%","±0.2","11.6%","±1.1","10.7%","±1.3","3.2%","±0.3"
"        Other services (except public administration)","4.8%","±0.2","4.9%","±0.2","4.8%","±0.6","4.8%","±1.0","3.9%","±0.3"
"        Public administration","4.0%","±0.1","4.3%","±0.2","2.7%","±0.4","5.0%","±1.1","3.5%","±0.3"
"        Armed forces","0.1%","±0.1","0.2%","±0.1","0.0%","±0.1","0.1%","±0.1","0.0%","±0.1"
"    CLASS OF WORKER","","","","","","","","","",""
"        Private wage and salary workers","83.0%","±0.3","82.9%","±0.3","83.5%","±1.2","84.8%","±1.6","82.3%","±0.7"
"        Government workers","11.8%","±0.2","12.7%","±0.3","10.4%","±0.9","13.5%","±1.5","7.9%","±0.5"
"        Self-employed workers in own not incorporated business","5.0%","±0.2","4.2%","±0.2","5.9%","±0.6","1.5%","±0.4","9.5%","±0.6"
"        Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.2%","±0.1","0.1%","±0.2","0.3%","±0.1"
"Workers 16 years and over who did not work from home","5,470,640","±35,167","4,337,311","±32,244","516,884","±16,803","273,162","±11,349","(X)","(X)"
"    TIME ARRIVING AT WORK","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.1%","±0.2","4.2%","±0.2","4.1%","±0.5","2.3%","±0.9","(X)","(X)"
"        5:00 a.m. to 5:29 a.m.","2.1%","±0.1","2.2%","±0.1","2.4%","±0.4","1.0%","±0.4","(X)","(X)"
"        5:30 a.m. to 5:59 a.m.","4.6%","±0.2","4.8%","±0.2","5.1%","±0.7","1.8%","±0.6","(X)","(X)"
"        6:00 a.m. to 6:29 a.m.","5.9%","±0.2","6.2%","±0.2","6.1%","±0.7","3.3%","±1.1","(X)","(X)"
"        6:30 a.m. to 6:59 a.m.","9.8%","±0.3","10.5%","±0.3","10.0%","±0.8","5.7%","±1.0","(X)","(X)"
"        7:00 a.m. to 7:29 a.m.","11.2%","±0.2","11.7%","±0.3","11.1%","±1.0","7.4%","±1.2","(X)","(X)"
"        7:30 a.m. to 7:59 a.m.","13.3%","±0.3","14.1%","±0.3","11.5%","±0.9","12.5%","±1.5","(X)","(X)"
"        8:00 a.m. to 8:29 a.m.","12.4%","±0.3","12.5%","±0.3","9.8%","±0.9","15.3%","±1.4","(X)","(X)"
"        8:30 a.m. to 8:59 a.m.","8.6%","±0.2","8.3%","±0.2","7.3%","±0.7","15.0%","±1.7","(X)","(X)"
"        9:00 a.m. to 11:59 p.m.","27.9%","±0.4","25.5%","±0.4","32.7%","±1.7","35.6%","±2.0","(X)","(X)"
"    TRAVEL TIME TO WORK","","","","","","","","","",""
"        Less than 10 minutes","13.1%","±0.3","12.1%","±0.3","12.4%","±1.0","2.1%","±1.0","(X)","(X)"
"        10 to 14 minutes","12.7%","±0.3","13.0%","±0.3","14.2%","±0.9","1.6%","±0.4","(X)","(X)"
"        15 to 19 minutes","14.6%","±0.3","14.9%","±0.3","15.5%","±1.0","6.0%","±0.8","(X)","(X)"
"        20 to 24 minutes","14.2%","±0.3","14.6%","±0.3","14.7%","±1.2","11.0%","±1.4","(X)","(X)"
"        25 to 29 minutes","7.2%","±0.2","7.7%","±0.2","6.4%","±0.7","4.8%","±0.9","(X)","(X)"
"        30 to 34 minutes","12.9%","±0.3","13.0%","±0.3","12.9%","±1.2","19.0%","±1.8","(X)","(X)"
"        35 to 44 minutes","8.0%","±0.2","8.3%","±0.2","6.9%","±0.7","12.2%","±1.4","(X)","(X)"
"        45 to 59 minutes","8.6%","±0.3","8.7%","±0.2","8.3%","±0.9","15.5%","±1.4","(X)","(X)"
"        60 or more minutes","8.6%","±0.3","7.8%","±0.3","8.8%","±0.9","27.7%","±2.1","(X)","(X)"
"        Mean travel time to work (minutes)","26.7","±0.2","26.4","±0.2","26.8","±0.7","43.6","±1.5","(X)","(X)"
"Workers 16 years and over in households","6,261,424","±31,728","4,315,519","±32,121","510,817","±16,772","268,601","±11,446","868,229","±19,076"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","73.9%","±0.4","76.5%","±0.4","66.8%","±1.5","47.8%","±2.4","80.2%","±1.0"
"        Renter-occupied housing units","26.1%","±0.4","23.5%","±0.4","33.2%","±1.5","52.2%","±2.4","19.8%","±1.0"
"    VEHICLES AVAILABLE","","","","","","","","","",""
"        No vehicle available","5.6%","±0.3","1.9%","±0.2","8.0%","±1.0","34.5%","±2.8","5.3%","±0.5"
"        1 vehicle available","23.2%","±0.4","21.5%","±0.4","24.1%","±1.4","35.9%","±2.6","24.4%","±1.0"
"        2 vehicles available","40.3%","±0.4","42.4%","±0.5","36.1%","±1.6","21.1%","±1.6","44.2%","±1.0"
"        3 or more vehicles available","30.9%","±0.4","34.3%","±0.5","31.9%","±1.6","8.5%","±1.1","26.0%","±1.0"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Means of transportation to work","15.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time arriving at work from home","30.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","21.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","2.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
